Date,srad,tmmx,tmmn,vpar,tdew,rmax,rmin,vs,pr,ET,MorP
1981-03-21,10.022,12.05,1.55,,,52.5,17.6,10.2,0.3,,
1981-03-22,19.535,11.15,-0.95,,,88.5,36.3,4.8,0.0,,
1981-03-23,19.837,17.45,-3.05,,,90.4,25.1,3.7,1.4,,
1981-03-24,16.304,20.75,0.65,,,83.1,20.4,5.0,1.0,,
1981-03-25,20.442,15.85,4.05,,,95.7,17.3,5.7,0.3,,
1981-03-26,20.58,23.55,-0.35,,,87.2,15.8,7.2,0.0,,
1981-03-27,20.892,23.85,4.05,,,87.2,14.7,7.7,0.0,,
1981-03-28,12.718,16.25,3.65,,,100.0,14.8,7.3,1.0,,
1981-03-29,21.194,16.85,0.05,,,77.8,17.1,4.5,0.0,,
1981-03-30,21.47,23.85,1.25,,,64.4,14.6,6.1,0.0,,
1981-03-31,22.101,16.65,2.85,,,40.2,9.3,6.0,0.0,,
1981-04-01,22.55,23.65,0.85,,,39.8,10.6,6.1,0.0,,
1981-04-02,20.416,25.65,5.65,,,60.6,12.0,7.4,0.0,,
1981-04-03,21.168,18.15,7.35,,,53.0,18.5,10.0,1.2,,
1981-04-04,11.785,12.65,2.45,,,79.8,18.3,2.3,0.0,,
1981-04-05,23.181,16.25,0.35,,,86.4,14.9,3.5,0.0,,
1981-04-06,22.317,23.25,0.25,,,56.2,14.9,8.9,0.0,,
1981-04-07,23.121,26.55,5.05,,,71.6,10.4,6.7,0.0,,
1981-04-08,23.112,23.45,6.85,,,40.9,9.8,4.0,0.0,,
1981-04-09,23.077,26.45,3.15,,,77.3,15.7,4.3,0.0,,
1981-04-10,23.008,29.05,8.35,,,57.4,11.0,5.4,0.0,,
1981-04-11,23.181,28.55,9.15,,,89.5,9.6,5.4,0.0,,
1981-04-12,22.87,28.65,9.05,,,35.3,10.2,4.4,0.0,,
1981-04-13,21.125,27.55,11.65,,,53.9,10.6,5.7,0.0,,
1981-04-14,23.103,17.55,4.85,,,81.0,18.0,6.5,0.0,,
1981-04-15,9.366,13.55,0.45,,,58.9,19.3,4.7,0.0,,
1981-04-16,23.855,26.55,2.35,,,100.0,17.1,5.5,0.5,,
1981-04-17,24.08,29.05,8.25,,,84.6,13.1,4.0,0.0,,
1981-04-18,15.941,20.35,11.75,,,100.0,13.1,4.0,13.0,,
1981-04-19,23.924,26.35,8.45,,,100.0,24.6,3.5,0.0,,
1981-04-20,23.933,24.95,7.35,,,100.0,23.0,4.2,0.0,,
1981-04-21,20.909,26.15,9.55,,,100.0,27.6,6.7,0.0,,
1981-04-22,24.434,21.75,9.35,,,98.1,24.4,5.5,0.0,,
1981-04-23,24.659,22.65,6.55,,,68.7,20.3,1.8,0.0,,
1981-04-24,24.745,26.55,6.95,,,61.2,17.1,5.3,0.0,,
1981-04-25,24.78,29.65,7.85,,,60.4,15.6,5.4,0.0,,
1981-04-26,24.719,31.35,9.65,,,70.0,15.6,5.9,0.0,,
1981-04-27,24.728,32.75,11.35,,,78.4,11.4,4.7,0.0,,
1981-04-28,22.49,26.65,12.85,,,75.5,11.4,4.5,0.5,,
1981-04-29,24.996,30.95,10.05,,,81.9,16.3,3.3,0.0,,
1981-04-30,23.864,29.85,11.55,,,74.3,15.4,2.9,3.9,,
1981-05-01,23.881,23.55,11.65,,,100.0,22.3,4.9,3.0,,
1981-05-02,24.555,26.05,9.85,,,100.0,36.0,8.2,0.0,,
1981-05-03,23.458,27.75,11.75,,,100.0,26.9,6.5,1.4,,
1981-05-04,26.715,23.35,11.35,,,95.0,25.3,6.6,2.0,,
1981-05-05,23.57,20.95,5.65,,,100.0,33.3,3.1,0.7,,
1981-05-06,26.041,24.85,7.35,,,89.5,36.3,5.5,0.0,,
1981-05-07,25.695,26.85,8.25,,,100.0,16.7,6.0,0.0,,
1981-05-08,27.173,24.15,7.25,,,89.1,13.9,4.1,0.0,,
1981-05-09,22.55,15.85,5.25,,,79.9,16.6,9.5,0.0,,
1981-05-10,28.028,20.15,-0.25,,,92.8,20.8,3.3,0.0,,
1981-05-11,27.657,27.75,3.35,,,71.2,15.2,6.7,0.0,,
1981-05-12,25.808,27.75,9.65,,,57.6,14.1,4.6,0.0,,
1981-05-13,20.917,17.85,6.45,,,97.4,13.1,6.2,0.0,,
1981-05-14,26.767,21.65,2.55,,,96.0,28.7,4.2,5.1,,
1981-05-15,23.242,24.45,6.45,,,94.4,31.3,8.7,2.4,,
1981-05-16,25.989,24.45,6.85,,,100.0,19.3,6.7,0.0,,
1981-05-17,23.717,23.55,12.55,,,53.4,17.5,4.4,0.0,,
1981-05-18,21.41,16.85,7.65,,,82.9,17.8,7.2,0.0,,
1981-05-19,28.166,18.75,-0.25,,,100.0,31.4,3.8,0.0,,
1981-05-20,26.292,22.85,2.35,,,83.2,30.3,6.9,0.0,,
1981-05-21,27.354,27.35,6.05,,,100.0,16.9,7.4,0.0,,
1981-05-22,28.788,27.45,8.95,,,40.2,10.1,5.1,0.8,,
1981-05-23,26.395,26.35,11.75,,,44.6,10.4,2.8,6.6,,
1981-05-24,26.196,26.55,13.25,,,89.4,18.7,3.5,0.5,,
1981-05-25,28.071,28.55,10.75,,,91.6,19.7,2.2,0.6,,
1981-05-26,26.214,31.25,14.45,,,67.4,18.2,2.5,0.0,,
1981-05-27,27.847,32.15,14.05,,,100.0,18.1,3.8,3.2,,
1981-05-28,26.473,30.15,13.95,,,100.0,19.7,4.1,19.6,,
1981-05-29,22.378,24.95,15.55,,,100.0,30.8,2.8,15.9,,
1981-05-30,20.209,21.05,12.55,,,100.0,35.4,3.6,2.9,,
1981-05-31,28.097,26.55,8.95,,,100.0,40.0,4.7,0.0,,
1981-06-01,24.278,28.75,12.45,,,100.0,26.0,3.8,4.5,,
1981-06-02,27.683,30.15,15.75,,,85.2,25.3,2.1,3.2,,
1981-06-03,22.3,26.55,15.75,,,95.9,24.9,2.7,3.1,,
1981-06-04,27.734,27.05,12.75,,,100.0,32.1,2.3,0.6,,
1981-06-05,27.13,29.55,14.45,,,90.4,30.8,2.5,0.0,,
1981-06-06,28.063,30.55,16.75,,,78.9,28.3,2.0,0.0,,
1981-06-07,28.227,35.85,14.75,,,89.2,20.2,4.7,0.0,,
1981-06-08,28.693,38.35,18.45,,,55.4,10.7,4.8,0.0,,
1981-06-09,28.711,38.65,19.55,,,38.5,10.8,3.3,0.0,,
1981-06-10,28.192,31.15,16.75,,,92.0,10.7,5.2,0.0,,
1981-06-11,27.864,36.55,18.05,,,100.0,25.8,5.9,3.9,,
1981-06-12,27.916,34.25,17.85,,,96.6,24.4,7.8,1.7,,
1981-06-13,28.624,35.65,16.75,,,100.0,18.1,8.2,0.0,,
1981-06-14,29.022,34.35,16.95,,,100.0,14.2,6.5,0.0,,
1981-06-15,23.129,23.65,13.25,,,71.0,13.6,6.2,0.0,,
1981-06-16,29.108,27.05,8.95,,,54.7,17.7,4.6,0.0,,
1981-06-17,29.532,33.35,10.25,,,51.2,11.9,8.1,0.0,,
1981-06-18,28.918,31.55,13.65,,,45.1,10.6,4.9,0.0,,
1981-06-19,28.564,37.25,14.75,,,70.9,12.8,3.6,0.0,,
1981-06-20,28.676,37.75,18.85,,,44.1,11.5,3.4,0.0,,
1981-06-21,28.884,39.65,19.85,,,53.9,9.1,3.3,0.3,,
1981-06-22,27.285,36.25,20.15,,,66.9,9.0,4.2,2.6,,
1981-06-23,28.002,35.15,18.75,,,95.3,25.0,6.5,2.3,,
1981-06-24,27.708,36.85,17.45,,,73.1,24.9,6.2,0.5,,
1981-06-25,26.378,34.75,18.05,,,74.6,22.4,3.9,1.1,,
1981-06-26,25.799,33.55,17.85,,,86.1,21.6,6.2,4.5,,
